HomePlanet,CryoSleep,Destination,Age,VIP,Transported,Deck,Port,TotalSpend
2,1,1,47.0,0,True,2,1,0.0
3,1,1,20.0,0,True,1,0,0.0
1,0,3,23.0,0,False,1,0,720.0
1,0,2,20.0,0,False,1,1,2261.0
2,1,3,26.0,0,True,4,1,0.0
1,0,1,10.0,0,False,4,0,174.119553474973
1,0,1,50.0,0,True,3,0,744.0
2,0,1,31.0,0,False,6,0,9822.45643227769
2,0,1,30.0,1,True,2,1,1446.0
2,0,1,59.0,0,True,6,1,2691.0
3,0,1,3.0,0,True,4,1,0.0
1,0,3,37.0,0,False,1,1,1022.0243902439024
2,1,3,26.0,0,True,2,1,0.0
1,0,1,30.0,0,True,3,1,723.0
1,0,1,0.0,0,False,3,0,0.0
1,1,1,24.0,0,False,3,0,0.0
1,0,1,23.0,0,True,3,1,0.0
1,0,1,50.0,0,False,1,1,803.0
2,1,1,34.0,0,True,2,1,0.0
3,0,1,28.843144292893037,0,False,5,0,2729.0
2,0,3,21.0,0,False,0,1,3436.0
3,0,1,20.0,0,False,1,1,1506.0243902439024
1,1,1,28.843144292893037,0,True,3,0,0.0
2,1,1,52.0,0,True,0,1,0.0
1,0,1,23.0,0,True,1,0,2735.0
1,1,1,6.0,0,False,3,0,0.0
1,0,1,55.0,0,True,3,1,446.0
1,0,1,22.0,0,True,1,1,680.0
2,1,3,38.0,0,True,0,0,0.0
1,0,3,21.0,0,False,1,1,905.345007183908
2,0,3,40.0,0,False,6,1,27842.0
1,1,1,41.0,0,True,3,0,0.0
2,0,1,33.0,0,False,2,0,1277.0
1,0,1,31.0,0,False,1,0,1524.0
3,1,1,28.843144292893037,0,True,1,1,0.0
1,0,1,0.0,0,True,3,1,0.0
3,0,3,0.0,0,True,1,0,0.0
1,1,1,0.0,0,False,3,0,0.0
1,1,3,4.0,0,True,3,1,0.0
2,1,3,19.0,0,True,2,0,0.0
1,0,1,29.0,0,False,1,1,804.0
3,1,1,46.0,0,True,1,1,228.45643227768832
1,0,1,29.0,0,True,1,0,792.0
3,0,1,23.0,0,False,1,0,1308.4564322776882
2,0,3,51.0,1,True,2,1,1795.0
1,1,1,50.0,0,True,3,1,0.0
3,1,3,27.0,0,True,1,1,0.0
1,0,1,28.0,0,False,1,1,800.0
1,1,3,38.0,0,True,3,1,0.0
2,1,2,30.0,0,True,2,1,0.0
1,0,1,19.0,0,False,1,0,801.0
1,0,1,18.0,0,False,3,1,2344.0
3,0,1,43.0,0,False,1,1,1225.0
2,1,1,28.0,0,True,5,1,0.0
1,1,1,24.0,0,True,3,1,0.0
1,1,1,3.0,0,True,3,1,0.0
2,0,3,45.0,0,False,6,1,7337.0
1,0,2,40.0,0,False,1,0,995.345007183908
1,0,1,37.0,0,False,1,1,899.0
3,1,1,43.0,0,True,1,1,0.0
1,1,3,38.0,0,True,2,1,0.0
1,0,1,20.0,0,False,1,1,2272.0
1,1,3,0.0,0,True,3,0,0.0
3,0,1,22.0,0,False,3,0,1298.0
3,0,1,19.0,0,True,5,0,1790.0
3,0,1,18.0,0,True,5,1,2345.0
1,0,1,15.0,0,False,1,0,1188.345007183908
1,0,3,27.0,0,True,1,1,701.0
1,0,2,37.0,0,False,3,0,753.0
2,0,3,57.0,0,False,0,1,7173.0
1,0,2,21.0,0,False,3,0,174.119553474973
1,0,1,46.0,0,False,3,0,884.0
2,0,3,28.843144292893037,0,False,6,0,10841.0
1,1,1,13.0,0,True,3,1,174.119553474973
1,1,2,17.0,0,False,3,1,0.0
2,0,1,28.0,0,False,2,1,8693.0
3,1,1,28.843144292893037,0,False,4,1,0.0
1,1,1,28.843144292893037,0,True,3,1,0.0
2,0,1,32.0,0,False,6,0,5676.0
2,0,3,28.0,0,True,6,1,4735.0
1,0,1,18.0,0,True,4,0,828.0
1,0,1,53.0,0,False,1,0,932.119553474973
1,0,1,25.0,0,True,3,1,892.0
1,1,1,21.0,0,True,3,0,174.119553474973
1,1,1,8.0,0,True,3,1,0.0
2,1,3,17.0,0,True,6,0,0.0
1,0,1,32.0,0,False,3,1,772.0
1,1,1,20.0,0,True,3,1,0.0
1,1,2,38.0,0,False,3,1,0.0
1,1,3,37.0,0,True,3,1,0.0
1,1,3,46.0,0,True,4,0,0.0
1,0,1,18.0,0,False,1,0,748.0
3,0,1,3.0,0,True,1,0,0.0
3,1,1,0.0,0,True,1,1,0.0
2,0,3,26.0,0,True,0,1,5009.0
1,0,1,7.0,0,False,3,0,0.0
1,1,2,18.0,0,True,3,1,0.0
1,0,1,23.0,0,True,1,0,343.11955347497303
3,0,1,35.0,0,True,1,0,7137.0
1,0,2,42.0,0,False,3,1,807.0
2,1,3,52.0,0,True,6,1,318.0243902439024
1,0,1,56.0,0,False,1,0,759.0
1,1,3,13.0,0,True,3,1,0.0
1,1,2,20.0,0,True,3,1,174.119553474973
1,0,1,62.0,0,False,3,0,893.0
1,0,3,22.0,0,False,1,0,640.0
1,0,1,22.0,0,False,3,0,809.0
1,1,1,17.0,0,True,3,1,0.0
2,0,3,43.0,0,False,5,1,5532.0
2,0,1,11.0,0,True,0,1,0.0
1,0,1,63.0,0,False,1,1,2451.0
2,0,1,26.0,1,False,0,0,2856.0
1,0,1,28.843144292893037,0,True,1,1,2629.0
1,0,3,42.0,0,False,1,0,701.0
1,0,1,49.0,0,False,1,0,2486.0
1,0,1,19.0,0,True,1,1,2786.0
1,0,1,53.0,0,True,4,0,2361.0
3,1,1,6.0,0,True,1,1,228.45643227768832
2,0,3,18.0,0,False,0,1,2064.0
2,0,1,22.0,0,False,0,1,4869.0
1,0,2,34.0,0,False,1,1,867.0
1,0,1,55.0,0,False,1,1,1469.0
2,0,1,40.0,0,True,5,1,7678.0
3,1,1,20.0,0,True,1,0,0.0
3,0,1,37.0,0,False,5,0,1800.0
2,0,3,26.0,0,True,0,0,8803.0
3,0,1,23.0,0,False,1,1,1861.0
1,0,1,21.0,0,True,1,1,804.0
1,0,1,30.0,0,False,1,1,738.0
1,0,1,22.0,0,True,1,1,884.0
2,1,1,27.0,1,True,0,0,0.0
2,0,1,34.0,0,False,0,0,8476.0
1,1,3,17.0,0,True,3,1,0.0
1,1,2,36.0,0,True,3,0,0.0
1,1,1,41.0,0,True,3,0,0.0
1,0,1,52.0,0,False,3,0,848.0
2,0,1,27.0,0,False,6,0,7792.0
1,1,2,33.0,0,True,3,1,0.0
2,1,1,28.0,0,True,0,0,0.0
3,0,1,55.0,0,False,5,1,2709.0
1,0,1,22.0,0,True,3,1,784.0
1,0,1,11.0,0,False,3,0,0.0
3,0,1,32.0,0,False,1,1,7057.119553474973
3,1,1,35.0,0,True,1,1,0.0
1,0,1,23.0,0,False,1,1,1344.0
2,0,3,25.0,0,True,2,1,5416.0
2,1,1,22.0,0,True,0,1,0.0
1,0,2,32.0,0,False,1,1,591.0
1,1,1,22.0,0,True,3,1,0.0
1,0,1,16.0,0,False,3,1,891.0
1,1,3,14.0,0,True,3,0,0.0
1,1,2,24.0,0,False,3,1,0.0
2,0,1,26.0,1,True,6,1,5735.0
3,1,3,43.0,0,True,5,1,0.0
1,1,1,7.0,0,False,3,0,0.0
1,0,2,22.0,0,True,3,1,924.0243902439024
1,1,1,49.0,0,True,3,0,0.0
3,0,1,47.0,0,True,1,0,1428.0
1,1,1,38.0,0,True,3,1,0.0
1,1,1,21.0,0,False,3,1,0.0
3,0,1,17.0,0,False,4,1,1896.0
1,1,3,18.0,0,False,3,0,0.0
1,0,2,46.0,0,False,1,0,724.119553474973
2,0,1,26.0,0,True,6,0,0.0
3,0,1,17.0,0,True,5,0,3394.0
2,1,3,40.0,0,True,0,1,0.0
1,0,1,48.0,0,False,3,0,229.45643227768832
1,1,1,23.0,0,False,3,0,0.0
1,0,1,19.0,0,True,4,0,0.0
2,1,1,61.0,0,True,0,1,0.0
