HomePlanet,CryoSleep,Destination,Age,VIP,Transported,Deck,Port,TotalSpend
2,0,1,39.0,0,False,0,0,0.0
1,0,1,24.0,0,True,1,1,736.0
2,0,1,58.0,1,False,2,1,10383.0
2,0,1,33.0,0,False,2,1,5176.0
1,0,1,16.0,0,True,1,1,1091.0
1,0,2,44.0,0,True,1,0,774.0
1,0,1,26.0,0,True,1,1,1584.0
1,1,1,28.0,0,True,3,1,304.8547912992357
1,0,1,35.0,0,True,1,1,1018.0
2,1,3,14.0,0,True,0,0,0.0
2,1,1,34.0,0,True,0,0,173.72916912197996
2,0,3,45.0,0,True,0,0,8157.0
3,0,1,32.0,0,True,1,0,1309.0
1,0,1,48.0,0,False,3,1,809.0
1,0,1,28.0,0,True,1,0,1003.0
1,0,1,31.0,0,False,3,1,908.0
3,0,3,27.0,0,False,1,0,1581.72916912198
1,0,3,24.0,0,False,1,0,638.0
3,1,1,45.0,0,True,1,0,0.0
1,0,1,0.0,0,True,3,0,0.0
1,0,3,14.0,0,False,1,0,1092.0
1,1,1,1.0,0,False,4,1,0.0
1,1,3,49.0,0,False,4,1,0.0
1,1,3,29.0,0,False,4,1,173.72916912197996
1,0,1,10.0,0,True,4,1,0.0
1,1,2,1.0,0,False,4,1,224.687617481203
1,0,1,7.0,0,False,4,1,0.0
3,0,1,21.0,0,False,5,0,1051.0
2,1,1,62.0,0,True,6,1,173.72916912197996
1,0,1,15.0,0,False,1,1,1223.0
2,0,3,34.0,0,False,6,0,7861.0
3,0,1,43.0,0,False,1,0,1309.0
1,0,1,32.0,0,False,3,1,1821.0
3,0,1,47.0,0,True,1,0,2854.0
3,0,1,2.0,0,True,1,0,0.0
3,0,1,20.0,0,True,1,0,2964.6876174812032
2,1,3,28.0,0,True,5,1,0.0
3,0,3,23.0,0,False,5,0,2699.0
1,0,3,15.0,0,False,1,1,961.0
1,0,3,20.0,0,False,1,1,3355.0
1,1,3,30.0,0,False,3,0,173.72916912197996
1,1,1,17.0,0,True,3,0,0.0
2,0,1,45.0,0,False,0,0,3575.0
1,1,1,55.0,0,False,3,0,0.0
1,1,3,4.0,0,True,3,0,0.0
1,1,2,21.0,0,True,3,0,0.0
3,0,1,21.0,0,False,1,0,1214.0
3,1,1,19.0,0,True,1,0,0.0
1,0,3,35.0,0,False,4,1,1101.1387779083432
1,0,1,56.0,0,False,4,1,1618.0
1,0,1,28.82793046746535,0,False,3,1,4689.0
1,0,1,25.0,0,True,1,1,1939.0
2,0,1,2.0,0,True,2,1,0.0
2,1,1,38.0,0,True,2,1,0.0
2,0,1,27.0,0,True,2,1,4547.0
1,1,2,36.0,0,False,3,1,0.0
1,0,1,22.0,0,False,1,1,2667.0
1,0,1,62.0,0,False,1,1,634.0
3,1,1,15.0,0,True,1,1,0.0
1,1,1,33.0,0,True,4,1,173.72916912197996
1,0,1,62.0,0,False,3,0,811.0
1,1,2,0.0,0,True,3,1,0.0
1,0,1,18.0,0,True,3,1,705.0
1,0,3,21.0,0,False,1,1,2007.0
3,0,1,28.82793046746535,0,False,4,1,1048.0
1,0,1,42.0,0,True,1,1,902.0
1,0,1,19.0,0,False,1,0,922.0
1,0,1,17.0,0,False,1,0,2233.0
1,0,1,14.0,0,False,1,1,1064.0
3,0,2,37.0,0,False,5,0,879.0
2,0,1,42.0,0,True,6,1,8904.0
3,0,1,27.0,0,True,1,1,1165.0
3,0,1,28.0,0,True,1,0,1309.0
2,0,1,38.0,0,False,6,1,15815.0
1,1,1,13.0,0,False,3,1,0.0
3,0,1,42.0,0,False,1,0,7406.0
3,1,1,2.0,0,True,1,0,0.0
3,0,1,8.0,0,True,1,0,0.0
1,0,1,24.0,0,True,3,1,705.0
2,1,1,40.0,0,True,6,1,0.0
1,0,1,43.0,0,False,1,0,1362.0
3,1,2,45.0,0,True,4,1,0.0
1,1,1,35.0,0,True,3,1,0.0
1,1,1,26.0,0,True,3,1,224.687617481203
1,0,1,27.0,0,False,1,1,917.0
1,0,1,19.0,0,False,3,0,705.0
1,1,1,0.0,0,True,3,0,173.72916912197996
1,1,1,3.0,0,True,3,0,0.0
2,0,1,54.0,0,False,2,1,1848.0
1,0,1,26.0,0,False,3,0,893.0
1,0,1,26.0,0,True,3,0,3855.0
1,0,2,23.0,0,False,1,0,1301.0
1,0,1,2.0,0,True,3,0,0.0
3,1,1,31.0,0,True,3,1,0.0
1,0,1,18.0,0,False,1,1,921.0
1,0,1,24.0,0,True,1,1,475.07720329024676
1,1,3,9.0,0,True,3,1,0.0
1,1,1,6.0,0,False,3,1,0.0
1,0,1,27.0,0,False,1,0,703.0
3,0,1,21.0,0,False,5,1,1765.0
1,1,1,23.0,0,False,3,1,0.0
1,0,1,31.0,0,False,3,1,888.0
1,0,1,0.0,0,True,3,1,0.0
2,0,1,32.0,0,False,3,1,5109.0
2,0,1,40.0,0,False,0,0,2018.0
2,0,1,42.0,0,True,0,0,15940.0
2,1,1,28.0,0,True,0,0,0.0
2,1,1,29.0,0,True,4,1,0.0
2,0,3,48.0,1,True,0,1,2654.0
1,0,1,64.0,0,True,1,0,804.0
1,0,1,27.0,0,False,3,1,907.0
3,0,1,26.0,0,True,1,0,304.8547912992357
2,0,1,33.0,0,True,5,0,2640.0
1,0,1,39.0,0,False,2,0,9307.0
2,1,1,13.0,0,True,2,0,0.0
3,1,1,24.0,0,True,1,0,304.8547912992357
1,0,1,29.0,0,False,3,1,773.0
1,0,1,18.0,0,False,1,0,702.0
3,1,1,67.0,0,True,1,1,0.0
3,0,1,35.0,0,False,4,1,1022.0
3,0,1,61.0,1,False,5,1,3014.0
3,0,1,45.0,0,False,4,1,2109.0
1,1,2,22.0,0,True,3,1,173.72916912197996
3,1,1,19.0,0,True,1,1,0.0
3,0,1,36.0,0,False,5,1,2738.0
1,0,1,19.0,0,True,3,0,744.0
1,0,2,47.0,0,False,3,1,721.0
1,1,1,13.0,0,True,3,0,0.0
1,0,1,34.0,0,False,4,0,793.0
2,1,3,35.0,0,True,6,1,0.0
1,1,1,24.0,0,True,3,0,0.0
1,0,1,26.0,0,False,1,0,902.0
3,0,1,31.0,0,False,1,0,321.687617481203
1,0,1,20.0,0,True,1,1,630.0
1,0,1,56.0,0,False,3,1,0.0
1,1,1,50.0,0,True,3,1,0.0
3,0,1,42.0,0,False,1,0,1158.0
1,1,3,28.82793046746535,0,True,3,1,0.0
1,1,3,38.0,0,False,3,0,0.0
1,0,1,41.0,0,False,1,0,607.0
1,0,1,22.0,0,False,3,0,4180.0
2,1,1,26.0,0,True,0,0,0.0
2,1,1,17.0,0,True,0,0,0.0
1,0,1,57.0,0,True,3,1,2184.138777908343
1,1,2,17.0,0,False,3,1,0.0
3,1,1,35.0,0,True,1,0,0.0
3,1,1,13.0,0,True,1,1,0.0
3,0,1,27.0,0,False,1,1,1572.0
1,1,1,31.0,0,False,3,0,0.0
1,0,1,24.0,0,False,4,1,788.0
1,1,2,19.0,0,True,3,1,0.0
1,1,1,32.0,0,True,3,0,0.0
1,0,1,58.0,0,True,4,1,990.0
1,0,3,21.0,0,False,1,0,593.0
2,0,1,38.0,0,False,0,1,27428.0
3,0,1,38.0,0,False,5,1,3722.0
1,0,1,19.0,0,True,3,0,906.0
1,0,1,0.0,0,False,3,0,0.0
1,0,1,3.0,0,True,3,0,0.0
1,0,1,20.0,0,False,3,0,394.0
2,1,1,24.0,0,True,6,0,0.0
1,0,1,37.0,0,True,1,1,821.0
1,0,1,25.0,0,False,3,0,1018.0
1,1,1,56.0,0,True,3,1,0.0
1,0,3,49.0,0,False,4,0,788.0
1,1,3,11.0,0,False,3,1,0.0
1,1,1,1.0,0,True,3,0,0.0
1,0,1,8.0,0,False,3,0,0.0
1,0,1,39.0,0,False,3,0,908.0
3,1,1,2.0,0,True,1,0,0.0
3,0,1,23.0,0,False,1,0,1304.687617481203
